Match_type,Ref_ID,ID1,Id,SchoolId,Name,Address,City,Zipcode,Contact,PhoneNumbe,YearBuilt,NumStories,Cost,NumStudent,BackupPowe,ShelterCap,Latitude,Longitude,Comment,X,Y,NumStudent12,CampusHous,NumStudents13,URL,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
NCES,0,"150 North Street, Boston, Massachusetts 02109",9019,167297,North Bennet Street School,"39 North Bennet St, Boston, Massachusetts 02113",North End,33790.0,NO BENNETT ST IND SCHL,(617) 227-0155,1899,4,5845800.0,144.0,0.0,,42.36589,-71.05478,0302292000,776486.09590752,2958673.64065294,151.0,,161.0,http://www.nbss.org,POINT (-71.054779999999937 42.365890000000036),-71.05477999999994,42.36589000000003,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,,12435,164845,Empire Beauty School-Boston,"30 West Street, Boston, Massachusetts 02111",Financial District,25175.0,CHENG HUNG TS,,1899,5,1618800.0,205.0,0.0,,42.35485,-71.06237,0304817000,774455.58028352,2954639.83310377,280.0,,241.0,,POINT (-71.062369999999987 42.354850000000056),-71.06236999999999,42.354850000000056,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"178 Tremont St 7th Fl, Boston, Massachusetts 0211*",11884,429128,Urban College of Boston,"178 Tremont St, Boston, Massachusetts 02111",Financial District,63096.0,ACTION FOR BOSTON COMMUNITY,(617) 292-4723,1899,10,4285100.0,617.0,0.0,,42.35288999,-71.06407999,0304884000,773997.03165994,2953923.20461577,562.0,,762.0,http://www.urbancollege.edu,POINT (-71.064079998999944 42.352890000000059),-71.06407999899994,42.35289000000006,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"122 Commonwealth Avenue, Boston, Massachusetts 02*",14049,164641,Bay State College,"122 Commonwealth Avenue, Boston, Massachusetts 02116",Back Bay,10182.0,PFANNENSTIEHL FREDERICK G TS,(617) 236-8000,1899,4,832000.0,753.0,0.0,,42.35176999,-71.07694,0501353000,770522.99169202,2953497.55192377,1225.0,19%,1204.0,http://www.baystate.edu,POINT (-71.076939999999979 42.351770000000045),-71.07693999999998,42.351770000000045,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,,13825,165149,Butera School Of Art,"111 Beacon St, Boston, Massachusetts 02116",Back Bay,8520.0,BUTERA JOSEPH L,(617) 536-4623,1899,5,594700.0,23.0,0.0,,42.35498,-71.07316,0502814000,771538.89189119,2954672.42851102,,,0.0,http://www.buteraschool.com,POINT (-71.073159999999973 42.354980001000058),-71.07315999999997,42.35498000100006,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"120 Boylston Street, Boston, Massachusetts 02116-*",14326,165662,Emerson College,"120 Boylston Street, Boston, Massachusetts 02116",Beacon Hill,0.0,EMERSON COLLEGE,(617) 824-8500,0,,4545500.0,4556.0,0.0,,42.35221938,-71.06573578,0500043010,773550.71759194,2953676.53614585,4469.0,48%,4561.0,http://www.emerson.edu,POINT (-71.065735780999944 42.352219383000033),-71.06573578099994,42.35221938300003,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"118 Beacon Street, Boston, Massachusetts 02116",13866,165802,Fisher College,"118 Beacon Street, Boston, Massachusetts 02116",Back Bay,21600.0,FISHER SCHOOL,(617) 236-8800,1899,5,280651.0,1593.0,0.0,,42.35525,-71.07414,0502574000,771273.51479727,2954769.4975426,1821.0,40%,1930.0,http://www.fisher.edu,POINT (-71.074140000999932 42.355250000000069),-71.07414000099993,42.35525000000007,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"126 Newbury Street, Boston, Massachusetts 02116",14004,166276,Sanford-Brown College-Boston,"126 Newbury Street, Boston, Massachusetts 02116",Back Bay,52830.0,BEEKMAN TOWN HOUSE LLC,(617) 578-7100,1920,6,5200400.0,158.0,0.0,,42.351004,-71.076416,0501320000,770666.01798077,2953219.10989535,,,71.0,http://www.gibbscollege.com,POINT (-71.076415999999938 42.351004000000046),-71.07641599999994,42.351004000000046,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"154 Stuart St, Boston, Massachusetts 02116",13000,167215,New England School of Law,"154 Stuart St, Boston, Massachusetts 02116",Beacon Hill,65429.0,NEW ENGLAND SCHOOL OF LAW,(617) 451-0010,1899,5,8714400.0,1096.0,0.0,,42.35077028,-71.06642451,0500077000,773367.23600352,2953147.5109571894,,,964.0,http://www.nesl.edu,POINT (-71.066424509999933 42.350770287000046),-71.06642450999993,42.350770287000046,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,,2262,167543,Kaplan Career Institute (Closed),"570 Rutherford Ave, Charlestown, Massachusetts 02129",Charlestown,606500.0,HOOD BUSINESS PARK LLC,(617) 580-4010,1920,3,16958900.0,619.0,0.0,,42.38101,-71.07244699,0202161000,771684.06089219,2964159.25796252,,,0.0,,POINT (-71.072446999999954 42.38101000000006),-71.07244699999995,42.38101000000007,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"320 Newbury Street, Boston, Massachusetts 02115-2*",15443,164872,Boston Architectural College,"320 Newbury Street, Boston, Massachusetts 02115",Back Bay,42344.0,BOSTON ARCHITECTURAL COLLEGE,(617) 262-5000,1899,6,11385900.0,1406.0,0.0,,42.34846,-71.0858,0503062000,768133.94299244,2952279.57010777,1215.0,,1037.0,http://www.the-bac.edu,POINT (-71.085799999999949 42.348460000000046),-71.08579999999995,42.348460000000046,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"621 Huntington Ave, Boston, Massachusetts 02115-5*",86503,166674,Massachusetts College of Art and Design,"621 Huntington Ave, Boston, Massachusetts 02115",Fenway/Kenmore,217791.0,COMMWLTH OF MASS,(617) 879-7000,1900,6,65800100.0,2422.0,0.0,,42.33638373,-71.10034042,0401841000,764224.00002494,2947859.99987869,2422.0,28%,2264.0,http://www.massart.edu,POINT (-71.100340422999977 42.336383740000031),-71.10034042299998,42.33638374000003,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"179 Longwood Ave, Boston, Massachusetts 02115-5896",86582,166656,MCPHS University,"179 Longwood Ave, Boston, Massachusetts 02115",Fenway/Kenmore,104000.0,MASS COLLEGE OF PHARMACY,(617) 732-2800,1917,4,87531900.0,4252.0,0.0,,42.33688,-71.10112,0401844000,764012.37872902,2948039.85975519,5327.0,17%,6548.0,http://www.mcp.edu,POINT (-71.10112000099997 42.336880000000065),-71.10112000099997,42.336880000000065,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"424 Beacon St, Boston, Massachusetts 02115",15908,167093,New England College of Optometry,"424 Beacon St, Boston, Massachusetts 02115",Back Bay,17037.0,NEW ENGLAND COLLEGE,(617) 266-2030,1900,5,5568600.0,467.0,0.0,,42.35184999,-71.08680999,0503507000,767854.93600452,2953513.6270228494,475.0,,502.0,http://www.neco.edu,POINT (-71.086809998999968 42.35185000000007),-71.08680999899997,42.35185000000007,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"360 Huntington Ave, Boston, Massachusetts 02115-5*",23123,167358,Northeastern University,"360 Huntington Ave, Boston, Massachusetts 02115",Fenway/Kenmore,142900.0,NORTHEASTERN UNIVERSITY,(617) 373-2000,1899,3,426358800.0,27537.0,0.0,,42.3400479,-71.08889159,0402236000,767313.00008052,2949210.00013144,26959.0,,8479.0,http://www.northeastern.edu,POINT (-71.088891592999971 42.340047903000027),-71.08889159299997,42.34004790300003,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"290 Huntington Ave, Boston, Massachusetts 02115-5*",22925,167057,The New England Conservatory of Music,"290 Huntington Ave, Boston, Massachusetts 02115",Fenway/Kenmore,0.0,NEW ENGLAND CONS OF MUSIC,(617) 585-1100,0,4,299000.0,785.0,0.0,,42.34109299,-71.086446,0402246000,767972.33307944,2949594.04890402,775.0,40%,813.0,http://www.newenglandconservatory.edu,POINT (-71.086446000999956 42.341093000000058),-71.08644600099996,42.34109300000006,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"550 Huntington Ave, Boston, Massachusetts 02115",86223,168227,Wentworth Institute of Technology,"550 Huntington Ave, Boston, Massachusetts 02115",Fenway/Kenmore,236886.0,WENTWORTH INSTITUTE,(617) 442-9010,1900,3,12929600.0,3808.0,0.0,,42.33662,-71.09493999,0402024000,765683.7113443501,2947952.98525702,3988.0,41%,4179.0,http://www.wit.edu,POINT (-71.094939998999962 42.336620000000039),-71.09493999899996,42.33662000000004,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"1140 Boylston St, Boston, Massachusetts 02215",23134,164748,Berklee College of Music,"1140 Boylston St, Boston, Massachusetts 02215",Fenway/Kenmore,36300.0,M B H ASSOCIATES LPS,(617) 266-1400,1899,6,4647300.0,4145.0,0.0,,42.34668904,-71.0890112,0401384000,767268.99984044,2951629.9998846,4307.0,20%,4519.0,http://www.berklee.edu,POINT (-71.089011208999977 42.346689042000037),-71.08901120899998,42.34668904200004,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,,16255,457013,Kaplan Career Institute (Closed),"540 Commonwealth Ave, Boston, Massachusetts 02215",Fenway/Kenmore,34112.0,SHUBERT FOUNDATION INC,(617) 695-4103,1899,3,3854600.0,249.0,0.0,,42.34849199,-71.09672499,0503938000,765180.6450932699,2952277.0792991,218.0,,0.0,,POINT (-71.096724999999935 42.348492000000078),-71.09672499999994,42.34849200000008,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,"537 Commonwealth Ave, Boston, Massachusetts 02215",16296,167224,New England School of Photography,"537 Commonwealth Ave, Boston, Massachusetts 02215",Fenway/Kenmore,16500.0,TRUSTEES OF BOSTON,(617) 437-1868,1923,3,452500.0,119.0,0.0,,42.34922,-71.09691999,0503755000,765126.6789938501,2952542.12765352,98.0,,66.0,http://www.nesop.com,POINT (-71.096919999999955 42.349220000000059),-71.09691999999995,42.34922000000006,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,,98366,16645201,Art Institute of Boston at Lesley University,"700 Beacon St, Boston, Massachusetts 02215",Fenway/Kenmore,37990.0,ART INSTITUTE OF BOSTON,(617) 585-6600,1899,4,7212500.0,0.0,0.0,,42.34849999,-71.09936999,0504144000,764465.63569652,2952276.6252317694,,27%,0.0,http://www.aiboston.edu,POINT (-71.099369999999965 42.348500000000058),-71.09936999999996,42.34850000000006,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"303 Adams Street, Milton, Massachusetts 02186",59172,165264,Laboure College,"2120 Dorchester Ave, Boston, Massachusetts 02124",South Dorchester,282494.0,NEW CARITAS CHRISTI HOSPITAL,(617) 296-8300,1899,8,51941000.0,669.0,0.0,,42.27739331,-71.0651491,1605018000,773848.3141096,2926409.52178235,732.0,,698.0,http://www.laboure.edu,POINT (-71.065149104999989 42.277393318000065),-71.06514910499999,42.277393318000065,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,"1505 Commonwealth Ave, Brighton, Massachusetts 02*",80906,167020,Everest Institute-Brighton,"1505 Commonwealth Ave, Brighton, Massachusetts 02135",Allston/Brighton,63504.0,COMMEX LLC,(617) 783-9955,1964,5,3189600.0,700.0,0.0,,42.34711,-71.14154,2101830005,753068.37076144,2951719.35666127,422.0,,369.0,http://www.bryman-institute.com,POINT (-71.141539999999964 42.347110000000043),-71.14153999999996,42.34711000000004,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,"127 Lake Street, Brighton, Massachusetts 02135-38*",88667,167677,Saint John's Seminary,"127 Lake Street, Brighton, Massachusetts 02135",Allston/Brighton,83600.0,TRUSTEES OF BOSTON COLLEGE,(617) 254-2610,1964,3,1265300.0,145.0,0.0,,42.34432295,-71.16304875,2205268070,747258.00016435,2950680.00014419,183.0,100%,192.0,http://www.sjs.edu,POINT (-71.163048753999988 42.344322960000056),-71.16304875399999,42.344322960000056,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,"400 Heath St, Chestnut Hill, Massachusetts 02467",90949,167455,Pine Manor College,"400 Heath St, Chestnut Hill, Massachusetts 02467",Jamaica Plain,0.0,BACK OF THE HILL CONDO TRUST,(617) 731-7000,1999,2.0,0.0,484.0,0.0,,42.32878999,-71.11021999,1001487000,761565.48959394,2945080.3400836894,343.0,73.5%,346.0,http://www.pmc.edu,POINT (-71.11021999999997 42.328790000000026),-71.11021999999997,42.328790000000026,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"One Wells Avenue, Newton, Massachusetts 02459",41509,166717,Massachusetts School of Professional Psychology,"221 Rivermoor St, Boston, Massachusetts 02132",West Roxbury,119454.0,CITY OF BOSTON,(617) 327-6777,1975,1,5477000.0,448.0,0.0,,42.27889226,-71.18035129,2009228000,742669.81314652,2926817.8733278494,558.0,,652.0,http://www.mspp.edu,POINT (-71.180351297999948 42.27889226800005),-71.18035129799995,42.27889226800005,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"950 Metropolitan Ave, Boston, Massachusetts 02136*",62594,164614,Boston Baptist College,"950 Metropolitan Ave, Boston, Massachusetts 02136",Hyde Park,35206.0,BOSTON BAPTIST COLLEGE,(617) 364-3510,1899,3,3326900.0,147.0,0.0,,42.25399999,-71.11025999,1810945000,761679.20787044,2917825.67313644,103.0,,96.0,http://www.boston.edu,POINT (-71.110259999999982 42.254000000000076),-71.11025999999998,42.25400000000008,colleges_and_universities.csv,2025-11-30 19:58:13
,0,,164845,164845,Blaine The Beauty Career School-Boston,530 Commonwealth Ave,Boston,2215.0,,(508) 370-7447,,,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,http://www.blainebeautyschools.com,POINT (-71.096397626999988 42.34859913300005),-71.09639762699999,42.34859913300005,colleges_and_universities.csv,2025-11-30 19:58:13
,0,,167543,167543,Rets Technical Center,965 Commonwealth Ave,Boston,2215.0,,(617) 783-1197,,,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,http://www.retstech.com,POINT (-71.119210478999946 42.35200522100007),-71.11921047899995,42.35200522100007,colleges_and_universities.csv,2025-11-30 19:58:13
,0,,,,Harvard University of Public Health,677 Huntington Ave,,2115.0,HARVARD COLLEGE,(617) 432-1031,,6,0.0,0.0,0.0,,0.0,0.0,0401895001,,,,,502.0,http://www.hsph.harvard.edu/,POINT (-71.103529949999938 42.33506645500006),-71.10352994999994,42.33506645500007,colleges_and_universities.csv,2025-11-30 19:58:13
